GLOBALEVENTID,SQLDATE,ActionGeo_FullName,EventCode,GoldsteinScale,NumArticles,AvgTone,SOURCEURL,City,Date
1299664044.0,20260417.0,"Warsaw, (PL67), Poland",10.0,0.0,1,-7.43727598566307,,Warsaw,
1299673653.0,20260417.0,"Warsaw, (PL67), Poland",129.0,-5.0,1,-4.16184971098266,,Warsaw,
1299673667.0,20260417.0,"Warsaw, (PL67), Poland",10.0,0.0,2,-4.16184971098266,,Warsaw,
1299741788.0,20260417.0,"Warsaw, (PL67), Poland",73.0,7.4,5,1.66666666666667,,Warsaw,
1299663751.0,20260417.0,"Warsaw, (PL67), Poland",190.0,-10.0,4,-7.43727598566307,,Warsaw,
1299782171.0,20260417.0,"Warsaw, (PL67), Poland",51.0,3.4,4,5.64263322884013,,Warsaw,
1299763590.0,20260417.0,"Warsaw, (PL67), Poland",193.0,-10.0,4,1.52439024390244,,Warsaw,
1299673942.0,20260417.0,"Warsaw, (PL67), Poland",42.0,1.9,2,-4.16184971098266,,Warsaw,
1299701102.0,20260417.0,"Warsaw, (PL67), Poland",129.0,-5.0,44,-1.52029147338611,,Warsaw,
1299756335.0,20260417.0,"Warsaw, (PL67), Poland",40.0,1.0,4,-0.625,,Warsaw,
1299664177.0,20260417.0,"Warsaw, (PL67), Poland",190.0,-10.0,3,-7.43727598566307,,Warsaw,
1299755789.0,20260417.0,"Warsaw, (PL67), Poland",46.0,7.0,4,-0.625,,Warsaw,
1299751591.0,20260417.0,"Warsaw, (PL67), Poland",172.0,-5.0,3,-2.77777777777778,,Warsaw,
1299709357.0,20260417.0,"Warsaw, (PL67), Poland",192.0,-9.5,1,1.03734439834025,,Warsaw,
1299517806.0,20260416.0,"Warsaw, (PL67), Poland",10.0,0.0,8,-1.89429446064709,,Warsaw,
1299601737.0,20260416.0,"Warsaw, (PL67), Poland",195.0,-10.0,3,-4.22413793103448,,Warsaw,
1299435380.0,20260416.0,"Warsaw, (PL67), Poland",42.0,1.9,4,-1.81038589804669,,Warsaw,
1299467712.0,20260416.0,"Warsaw, (PL67), Poland",71.0,7.4,4,-1.5813953488372,,Warsaw,
1299424122.0,20260416.0,"Warsaw, (PL67), Poland",13.0,0.4,11,-4.79909459171685,,Warsaw,
1299424507.0,20260416.0,"Warsaw, (PL67), Poland",12.0,-0.4,10,-4.79909459171685,,Warsaw,
1299483344.0,20260416.0,"Warsaw, (PL67), Poland",40.0,1.0,10,1.05960264900662,,Warsaw,
1299422838.0,20260416.0,"Warsaw, (PL67), Poland",13.0,0.4,4,-3.09050772626932,,Warsaw,
1299601738.0,20260416.0,"Warsaw, (PL67), Poland",195.0,-10.0,2,-4.22413793103448,,Warsaw,
1299601761.0,20260416.0,"Warsaw, (PL67), Poland",112.0,-2.0,3,-4.22413793103448,,Warsaw,
1299514438.0,20260416.0,"Warsaw, (PL67), Poland",51.0,3.4,6,3.25443786982249,,Warsaw,
1299424509.0,20260416.0,"Warsaw, (PL67), Poland",20.0,3.0,2,-4.99194847020934,,Warsaw,
1299423089.0,20260416.0,"Warsaw, (PL67), Poland",46.0,7.0,2,-3.09050772626932,,Warsaw,
1299422837.0,20260416.0,"Warsaw, (PL67), Poland",40.0,1.0,2,-3.09050772626932,,Warsaw,
1299533269.0,20260416.0,"Warsaw, (PL67), Poland",70.0,7.0,1,-0.177304964539,,Warsaw,
1299424284.0,20260416.0,"Warsaw, (PL67), Poland",13.0,0.4,4,-4.79909459171685,,Warsaw,
1299424513.0,20260416.0,"Warsaw, (PL67), Poland",111.0,-2.0,2,-4.99194847020934,,Warsaw,
1299422840.0,20260416.0,"Warsaw, (PL67), Poland",10.0,0.0,12,-3.09050772626932,,Warsaw,
1299424511.0,20260416.0,"Warsaw, (PL67), Poland",22.0,3.2,6,-4.79909459171685,,Warsaw,
1299435789.0,20260416.0,"Warsaw, (PL67), Poland",51.0,3.4,6,-1.81038589804669,,Warsaw,
1299433091.0,20260416.0,"Warsaw, (PL67), Poland",60.0,6.0,10,-0.52692859622129,,Warsaw,
1299595444.0,20260416.0,"Warsaw, (PL67), Poland",10.0,0.0,8,-3.79041248606466,,Warsaw,
1299555244.0,20260416.0,"Warsaw, (PL67), Poland",173.0,-5.0,2,-10.1941747572816,,Warsaw,
1299522519.0,20260416.0,"Warsaw, (PL67), Poland",14.0,0.0,10,-3.92857142857143,,Warsaw,
1299422835.0,20260416.0,"Warsaw, (PL67), Poland",40.0,1.0,2,-3.09050772626932,,Warsaw,
1299513356.0,20260416.0,"Warsaw, (PL67), Poland",61.0,6.4,6,3.25443786982249,,Warsaw,
1299518008.0,20260416.0,"Warsaw, (PL67), Poland",20.0,3.0,2,-0.0811030008110301,,Warsaw,
1299562695.0,20260416.0,"Warsaw, (PL67), Poland",42.0,1.9,10,0.88888888888889,,Warsaw,
1299562858.0,20260416.0,"Warsaw, (PL67), Poland",13.0,0.4,10,0.88888888888889,,Warsaw,
1299517446.0,20260416.0,"Warsaw, (PL67), Poland",10.0,0.0,2,-0.0811030008110301,,Warsaw,
1299501633.0,20260416.0,"Warsaw, (PL67), Poland",111.0,-2.0,4,3.52112676056338,,Warsaw,
1299500340.0,20260416.0,"Warsaw, (PL67), Poland",43.0,2.8,10,3.52112676056338,,Warsaw,
1299535141.0,20260416.0,"Warsaw, (PL67), Poland",61.0,6.4,5,-3.06965761511216,,Warsaw,
1299595445.0,20260416.0,"Warsaw, (PL67), Poland",10.0,0.0,2,-3.79041248606466,,Warsaw,
1299533271.0,20260416.0,"Warsaw, (PL67), Poland",70.0,7.0,1,-0.177304964539,,Warsaw,
1299503992.0,20260416.0,"Warsaw, (PL67), Poland",20.0,3.0,2,-0.279329608938539,,Warsaw,
1299533267.0,20260416.0,"Warsaw, (PL67), Poland",51.0,3.4,2,-0.177304964539,,Warsaw,
